Salário,Profissão,Tamanho da Empresa,Cargo de Gestão,Experiência em DS,Experiência Profissional,Tipo de Trabalho,Escolaridade,Área de Formação,Setor de Mercado,Estado,Linguagem Python,Linguagem R,Linguagem SQL,Linguagem C/C#/C++,PowerBI,Tableau
10000.0,Outras,Grande,não,de 2 a 3 anos,de 1 a 2 anos,Outros,Mestrado,Computação / Engenharia de Software / Sistemas de Informação,Educação,,0,0,0,0,0,0
2500.0,,Pequena,sim,Menos de 1 ano,de 2 a 3 anos,Empreendedor ou Empregado (CNPJ),Mestrado,Computação / Engenharia de Software / Sistemas de Informação,Educação,,0,0,0,0,0,0
5000.0,Cientista de Dados,Pequena,não,de 2 a 3 anos,de 1 a 2 anos,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,Minas Gerais (MG),1,0,1,0,0,0
5000.0,Outras,Grande,não,de 1 a 2 anos,Menos de 1 ano,Empregado (CTL),Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo,Finanças ou Bancos,,0,0,0,0,0,0
10000.0,Cientista de Dados,Pequena,não,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empreendedor ou Empregado (CNPJ),Mestrado,Outras Engenharias,Tecnologia/Fábrica de Software,,1,0,1,0,0,0
,,,,de 1 a 2 anos,de 1 a 2 anos,Outros,Pós-graduação,Outras Engenharias,,Santa Catarina (SC),1,0,1,0,1,0
,,,,de 2 a 3 anos,Menos de 1 ano,Outros,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,,São Paulo (SP),0,0,0,0,0,0
10000.0,Cientista de Dados,Pequena,não,de 4 a 5 anos,de 6 a 10 anos,Empreendedor ou Empregado (CNPJ),Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação,Marketing,São Paulo (SP),1,1,1,0,1,0
3500.0,Analista de Dados,Média,não,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Pós-graduação,Outras Engenharias,Indústria (Manufatura),Santa Catarina (SC),1,1,0,1,1,1
7000.0,Outras,Grande,não,Menos de 1 ano,de 4 a 5 anos,Outros,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Educação,Minas Gerais (MG),0,0,0,0,0,0
5000.0,Analista de BI,Grande,não,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Graduação/Bacharelado,Outras Engenharias,Setor Farmaceutico,São Paulo (SP),0,0,1,0,0,1
,,,,Menos de 1 ano,Menos de 1 ano,Outros,Pós-graduação,Estatística/ Matemática / Matemática Computacional,,,1,1,0,0,0,0
7000.0,Analista de Dados,Grande,não,Mais de 10 anos,de 1 a 2 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Setor Público,Minas Gerais (MG),1,0,1,0,1,0
7000.0,,Média,sim,de 1 a 2 anos,Mais de 10 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,,0,0,0,0,0,0
7000.0,Outras,Grande,não,de 6 a 10 anos,de 6 a 10 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,São Paulo (SP),0,0,0,0,0,0
10000.0,,Grande,sim,de 4 a 5 anos,Menos de 1 ano,Empregado (CTL),Pós-graduação,Outras Engenharias,Indústria (Manufatura),São Paulo (SP),0,0,0,0,0,0
5000.0,Cientista de Dados,Média,não,de 1 a 2 anos,de 4 a 5 anos,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,,1,0,1,0,0,0
,,,,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Outros,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional,,Minas Gerais (MG),0,0,0,0,0,0
,,,,Menos de 1 ano,de 1 a 2 anos,Outros,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,,São Paulo (SP),1,0,1,0,1,1
2500.0,Engenheiro de Dados,Média,não,de 2 a 3 anos,Mais de 10 anos,Empregado (CTL),Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Tecnologia/Fábrica de Software,São Paulo (SP),0,0,0,0,0,0
7000.0,Outras,Média,não,Mais de 10 anos,de 2 a 3 anos,Outros,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação,Educação,Minas Gerais (MG),1,0,1,0,0,0
7000.0,Analista de Dados,Grande,não,de 4 a 5 anos,Menos de 1 ano,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Área da Saúde,São Paulo (SP),1,1,1,0,1,0
3500.0,Analista de BI,Média,não,Menos de 1 ano,de 4 a 5 anos,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,Minas Gerais (MG),1,0,1,0,0,1
14000.0,,Pequena,sim,Mais de 10 anos,Mais de 10 anos,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional,Tecnologia/Fábrica de Software,Minas Gerais (MG),1,1,1,1,1,1
5000.0,Analista de BI,Média,não,de 4 a 5 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Pós-graduação,Ciências Sociais,Tecnologia/Fábrica de Software,São Paulo (SP),0,0,0,0,0,0
10000.0,Desenvolvedor/Engenheiro de Software,Pequena,não,de 4 a 5 anos,de 4 a 5 anos,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Finanças ou Bancos,São Paulo (SP),1,1,1,1,1,0
,,,,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Outros,Estudante de Graduação,Ciências Sociais,,Minas Gerais (MG),0,1,0,0,0,0
2500.0,Outras,Grande,não,Menos de 1 ano,de 4 a 5 anos,Empregado (CTL),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,São Paulo (SP),0,0,0,0,0,0
14000.0,,Média,sim,de 4 a 5 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empreendedor ou Empregado (CNPJ),Pós-graduação,Outras Engenharias,Marketing,São Paulo (SP),0,1,1,0,0,0
3500.0,Cientista de Dados,Pequena,não,de 1 a 2 anos,de 4 a 5 anos,Empregado (CTL),Mestrado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,Minas Gerais (MG),1,0,0,0,1,0
,,,,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Outros,Graduação/Bacharelado,Outras Engenharias,,Rio de Janeiro (RJ),1,1,1,0,0,0
7000.0,,Grande,sim,de 6 a 10 anos,Mais de 10 anos,Empreendedor ou Empregado (CNPJ),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Seguros ou Previdência,São Paulo (SP),0,0,1,0,1,0
1500.0,Outras,Pequena,não,Menos de 1 ano,Menos de 1 ano,Estagiário,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Outras,São Paulo (SP),0,0,0,0,0,0
5000.0,Analista de BI,Média,não,Mais de 10 anos,de 6 a 10 anos,Empregado (CTL),Pós-graduação,Estatística/ Matemática / Matemática Computacional,Tecnologia/Fábrica de Software,Minas Gerais (MG),0,0,0,0,0,0
7000.0,Analista de BI,Grande,não,de 1 a 2 anos,Mais de 10 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Finanças ou Bancos,Rio Grande do Sul (RS),1,1,1,0,1,1
,,,,Menos de 1 ano,Menos de 1 ano,Outros,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,,Rio Grande do Sul (RS),0,0,0,0,0,0
18000.0,,Pequena,sim,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Pós-graduação,Outras Engenharias,Finanças ou Bancos,São Paulo (SP),1,0,1,0,1,0
